MC,,1.0,"En el análisis de datos deportivos, que información básica contiene cada partido?",2,Solo el marcador final,"Equipos, goles, fechas y competiciones",Solo los nombres de los jugadores,Solo la fecha del partido
MC,,1.0,Cual es la configuración correcta para importar seaborn para gráficos bonitos?,2,import seaborn,import seaborn as sns,from seaborn import sns,import sns
MC,,1.0,"Que tipo de gráfico es mejor para mostrar ""Cuántos goles marcan los equipos locales?""",3,Gráfico de líneas,Gráfico circular,sns.countplot(),Histograma complejo
MC,,1.0,"Si de 30 partidos analizados, 15 los ganó el local, 8 el visitante y 7 fueron empates, que porcentaje representan las victorias locales?",2,40%,50%,60%,45%
MC,,1.0,Cual es la principal ventaja de usar seaborn sobre matplotlib básico?,2,Es más rápido,Crea gráficos bonitos automáticamente,Solo funciona con datos deportivos,No necesita matplotlib
MC,,1.0,"En el análisis de fútbol, que son los ""datos de resultados""?",2,Solo los goleadores,"Información básica del partido: equipos, goles, fecha, competición",Estadísticas de cada jugador,Solo la posición en la tabla
MC,,1.0,"Que información contienen los ""datos de eventos"" en fútbol?",2,Solo el resultado final,"Información detallada: goles, tarjetas, sustituciones con minuto exacto",Solo los nombres de equipos,Solo estadísticas de temporada
MC,,1.0,Como creo una fecha aleatoria en Python para simular datos?,2,fecha = random.date(),"fecha = f""2023-{np.random.randint(1, 13):02d}-{np.random.randint(1, 29):02d}""",fecha = datetime.now(),"fecha = ""2023"""
MC,,1.0,"Para simular goles con distribución realista, que función de numpy es más apropiada?",3,np.random.randint(),np.random.choice(),np.random.poisson(),np.random.normal()
MC,,1.0,Que ventaja tiene usar np.random.seed(42) al crear datos simulados?,2,Hace los datos más realistas,Garantiza reproducibilidad - todos obtienen los mismos datos,Acelera la generación,Crea más variedad
MC,,1.0,Que mide el promedio (mean) en el contexto de datos de fútbol?,2,El valor más alto,El valor típico o central de una variable,El valor más bajo,La diferencia entre valores
MC,,1.0,"Si tres jugadores anotaron 10, 15 y 8 goles respectivamente, cual es el promedio?",2,10,11,12,15
MC,,1.0,"En pandas, que método calcula automáticamente varias estadísticas descriptivas?",3,.info(),.head(),.describe(),.count()
MC,,1.0,Que tipo de gráfico es mejor para comparar goles promedio entre posiciones?,2,Gráfico de líneas,sns.boxplot(),Gráfico circular,Scatter plot
MC,,1.0,Que muestra un histograma de edades de jugadores?,2,Los nombres de los jugadores,La distribución/frecuencia de diferentes edades,Solo la edad máxima,El equipo de cada jugador
MC,,1.0,Cuando uso un gráfico de barras en análisis deportivo?,2,Para mostrar cambios en el tiempo,"Para comparar categorías (equipos, posiciones, etc.)",Para mostrar relaciones entre variables,Solo para datos numéricos continuos
MC,,1.0,Que tipo de gráfico es mejor para mostrar la evolución de goles a lo largo de un partido?,2,Gráfico de barras,Gráfico de líneas con tiempo en x,Gráfico circular,Histograma
MC,,1.0,Para que sirve sns.scatterplot() en análisis deportivo?,2,Contar elementos,Mostrar relación entre dos variables (ej: tiros vs goles),Solo hacer puntos decorativos,Comparar categorías
MC,,1.0,Como agrego etiquetas a los ejes en un gráfico?,1,plt.xlabel() y plt.ylabel(),sns.labels(),graph.label(),No se pueden agregar
MC,,1.0,"Si quiero mostrar porcentajes en un gráfico circular y tengo 3 categorías con 10, 15 y 5 elementos respectivamente, que porcentaje representa la segunda categoría?",2,40%,50%,60%,33%
MC,,1.0,"Al analizar datos, cual es el primer paso como ""detective de datos""?",2,Hacer gráficos inmediatamente,Contar y sumar - obtener estadísticas básicas,Crear presentaciones,Buscar datos en internet
MC,,1.0,Que significa encontrar que el promedio de goles por partido es 2.1?,2,Todos los partidos tuvieron exactamente 2.1 goles,"Es el valor típico, algunos tendrán más y otros menos",Es un error en los datos,Solo cuenta goles de un equipo
MC,,1.0,Cual es la secuencia correcta del análisis de datos?,2,Gráficos - Datos - Interpretación,Contar/Sumar - Comparar - Graficar - Interpretar,Interpretación - Datos - Gráficos,Solo hacer gráficos
MC,,1.0,Como identifico el resultado más común en mis datos?,2,Solo mirar el primer dato,Usar .mode() o contar frecuencias con .value_counts(),Adivinar,No es posible saberlo
MC,,1.0,"Si defino ""partidos emocionantes"" como aquellos con 3+ goles, y de 50 partidos, 15 cumplen esta condición, cual es la tasa de partidos emocionantes?",2,25%,30%,35%,40%
